employee_id,full_name,gender,age,education,city,department,job_title,job_level,employment_type,hire_date,exit_date,tenure_years,annual_salary_inr,performance_score,satisfaction_score,training_hours,promotions,manager_id,attrition,exit_reason
EMP1023,Aradhana Bobal,Male,47,Master's,Mumbai,Sales,Mid Sales Specialist,Mid,Contract,2023-11-16,,1.13,466785,3.0,4.6,22,1,EMP1087,No,
EMP1024,Unni Tailor,Male,34,Diploma,Bengaluru,Engineering,Lead Engineering Specialist,Lead,Full-time,2015-05-23,,9.62,1321834,3.7,2.0,61,2,EMP1048,No,
EMP1025,Qadim Lal,Male,30,Bachelor's,Bengaluru,Marketing,Mid Marketing Specialist,Mid,Full-time,2015-11-11,,9.15,1021962,3.7,3.3,27,0,EMP1050,No,
EMP1026,Onveer Sodhi,Male,41,Bachelor's,Hyderabad,Sales,Manager Sales Specialist,Manager,Full-time,2016-04-27,,8.68,1375801,2.9,4.2,21,2,EMP1058,No,
EMP1027,Dayamai Shukla,Female,32,Master's,Chennai,Engineering,Junior Engineering Specialist,Junior,Full-time,2022-12-31,,2.0,1257142,4.2,4.4,73,0,EMP1039,No,
EMP1028,Zaitra Vig,Male,28,Master's,Mumbai,Engineering,Lead Engineering Specialist,Lead,Part-time,2022-12-25,,2.02,1691486,2.7,3.3,7,0,EMP1074,No,
EMP1029,Jason Bedi,Female,37,Master's,Kolkata,HR,Mid HR Specialist,Mid,Full-time,2021-03-09,2023-03-02,3.82,478516,3.7,2.4,77,0,EMP1041,Yes,Limited growth
EMP1030,Indira Krishnan,Female,46,Master's,Pune,Operations,Senior Operations Specialist,Senior,Full-time,2020-01-18,,4.96,1169667,3.3,2.6,20,0,EMP1008,No,
EMP1031,Watika Kalita,Female,50,Bachelor's,Bengaluru,Finance,Lead Finance Specialist,Lead,Full-time,2020-10-23,2022-04-27,4.19,1095986,2.4,4.0,74,0,EMP1081,Yes,Limited growth
EMP1032,Wakeeta Mody,Female,26,Bachelor's,Pune,Finance,Mid Finance Specialist,Mid,Part-time,2020-12-25,,4.02,698325,3.3,4.5,47,1,EMP1073,No,
EMP1033,Yashodhara Issac,Female,42,Bachelor's,Pune,Operations,Junior Operations Specialist,Junior,Full-time,2015-04-27,,9.69,296016,3.7,3.0,7,0,EMP1081,No,
EMP1034,Pratyush Zacharia,Female,31,Master's,Chennai,Legal,Mid Legal Specialist,Mid,Full-time,2022-03-14,,2.8,1428647,3.7,5.0,60,0,EMP1060,No,
EMP1035,Ranbir Boase,Female,49,Bachelor's,Hyderabad,Sales,Junior Sales Specialist,Junior,Full-time,2021-10-20,,3.2,404692,3.4,5.0,51,0,EMP1014,No,
EMP1036,Nirja Bumb,Female,49,Master's,Mumbai,Operations,Mid Operations Specialist,Mid,Contract,2020-03-25,2021-01-07,4.77,484826,1.3,2.9,24,1,EMP1074,Yes,Better compensation
EMP1037,Oscar Mahajan,Male,50,Bachelor's,Bengaluru,HR,Senior HR Specialist,Senior,Full-time,2017-02-16,,7.88,969258,3.2,3.7,54,0,EMP1031,No,
EMP1038,Ishaan Karan,Female,42,Master's,Delhi,Operations,Junior Operations Specialist,Junior,Full-time,2018-12-16,,6.05,274592,1.8,3.4,17,0,EMP1034,No,
EMP1039,Karan Mann,Female,28,Bachelor's,Delhi,HR,Senior HR Specialist,Senior,Full-time,2023-07-26,,1.44,773535,3.7,4.9,68,0,EMP1071,No,
EMP1040,Vaishnavi Ghose,Male,52,Bachelor's,Mumbai,Operations,Mid Operations Specialist,Mid,Full-time,2021-12-27,2023-04-13,3.01,467108,3.0,2.3,69,0,EMP1006,Yes,Manager issues
EMP1041,Upasna Yadav,Male,41,Diploma,Mumbai,Finance,Junior Finance Specialist,Junior,Full-time,2016-07-15,,8.47,912263,4.1,3.9,44,0,EMP1079,No,
EMP1042,Chanchal Golla,Male,40,Bachelor's,Kolkata,Engineering,Senior Engineering Specialist,Senior,Full-time,2018-05-10,,6.65,1829726,3.0,4.1,46,1,EMP1054,No,
EMP1043,Amaira Suresh,Female,46,Master's,Mumbai,Engineering,Senior Engineering Specialist,Senior,Part-time,2023-12-08,,1.07,1001693,3.5,4.5,78,0,EMP1068,No,
EMP1044,Wahab Barad,Male,52,Master's,Mumbai,Engineering,Senior Engineering Specialist,Senior,Full-time,2021-12-13,,3.05,1809389,2.8,3.3,44,0,EMP1053,No,
EMP1045,Bhavna Gole,Female,45,Master's,Chennai,Engineering,Senior Engineering Specialist,Senior,Full-time,2019-08-08,,5.4,2403391,3.1,2.3,30,1,EMP1085,No,
EMP1046,Barkha Divan,Female,39,Bachelor's,Kolkata,Engineering,Mid Engineering Specialist,Mid,Part-time,2019-03-24,,5.78,1482020,3.6,3.8,37,1,EMP1025,No,
EMP1047,Anvi Chadha,Male,31,Master's,Chennai,Engineering,Manager Engineering Specialist,Manager,Full-time,2018-02-16,,6.88,2255459,3.4,3.4,44,0,EMP1072,No,
EMP1048,Bachittar Kaul,Female,50,High School,Kolkata,Engineering,Manager Engineering Specialist,Manager,Full-time,2023-12-02,,1.08,2194978,2.3,3.2,22,0,EMP1037,No,
EMP1049,Lohit Jain,Female,28,Bachelor's,Pune,Operations,Manager Operations Specialist,Manager,Full-time,2015-11-20,,9.12,1451181,3.1,2.9,75,1,EMP1018,No,
EMP1050,Nandini Krishna,Male,35,Bachelor's,Hyderabad,Sales,Junior Sales Specialist,Junior,Full-time,2023-04-23,2024-03-09,1.69,706849,3.3,4.5,21,0,EMP1071,Yes,Work-life balance
EMP1051,Fitan Vaidya,Male,42,Bachelor's,Delhi,Sales,Director Sales Specialist,Director,Full-time,2016-10-08,,8.24,2168352,3.5,3.8,11,2,EMP1012,No,
EMP1052,Ekani Borah,Female,27,Diploma,Bengaluru,Engineering,Senior Engineering Specialist,Senior,Contract,2017-08-09,,7.4,1095297,3.3,1.9,54,1,EMP1024,No,
EMP1053,Tamanna Prabhu,Male,32,Bachelor's,Chennai,Engineering,Manager Engineering Specialist,Manager,Full-time,2018-03-31,,6.76,1263884,3.4,3.7,67,2,EMP1018,No,
EMP1054,Unnati Hora,Male,36,Master's,Chennai,Marketing,Lead Marketing Specialist,Lead,Full-time,2020-04-01,,4.75,1106691,5.0,3.4,47,1,EMP1073,No,
EMP1055,Widisha Hari,Male,35,Master's,Bengaluru,Operations,Senior Operations Specialist,Senior,Full-time,2017-03-02,,7.84,749495,3.6,3.6,16,0,EMP1018,No,
EMP1056,Harita Bora,Female,52,Bachelor's,Pune,Operations,Mid Operations Specialist,Mid,Part-time,2017-10-13,,7.22,368638,2.5,4.6,5,0,EMP1047,No,
EMP1057,Sudiksha Lata,Female,51,Diploma,Chennai,Engineering,Senior Engineering Specialist,Senior,Part-time,2015-09-12,,9.31,1223786,4.0,4.3,19,1,EMP1038,No,
EMP1058,Vedhika Sharma,Male,41,Bachelor's,Chennai,Finance,Mid Finance Specialist,Mid,Full-time,2017-06-23,,7.53,905672,2.7,4.9,64,1,EMP1086,No,
EMP1059,Tanmayi Prabhu,Female,38,Bachelor's,Chennai,Engineering,Lead Engineering Specialist,Lead,Full-time,2023-07-18,,1.46,1894407,2.3,4.1,76,0,EMP1071,No,
EMP1060,Mugdha Chaudry,Female,44,Master's,Bengaluru,Sales,Manager Sales Specialist,Manager,Contract,2017-04-08,2023-05-08,7.74,1904802,5.0,2.3,61,1,EMP1059,Yes,Limited growth
EMP1061,Ekalinga Dyal,Female,31,Master's,Hyderabad,Legal,Junior Legal Specialist,Junior,Full-time,2019-08-29,,5.35,1246312,3.5,3.1,4,1,EMP1075,No,
EMP1062,Karan Morar,Male,50,Bachelor's,Hyderabad,Operations,Junior Operations Specialist,Junior,Full-time,2019-10-02,,5.25,539680,2.2,3.7,56,0,EMP1018,No,
EMP1063,Gaurangi Borde,Male,51,Diploma,Hyderabad,Operations,Lead Operations Specialist,Lead,Full-time,2023-03-07,,1.82,1200259,2.6,4.0,73,0,EMP1045,No,
EMP1064,Tarak Sem,Male,22,Master's,Delhi,Operations,Junior Operations Specialist,Junior,Full-time,2021-01-09,,3.98,557704,2.7,5.0,73,0,EMP1049,No,
EMP1065,Yashodhara Chakraborty,Female,45,Master's,Bengaluru,HR,Lead HR Specialist,Lead,Part-time,2017-10-10,,7.23,932643,2.8,3.3,57,1,EMP1003,No,
EMP1066,Chakradhar Shanker,Female,49,Bachelor's,Chennai,Finance,Junior Finance Specialist,Junior,Full-time,2015-10-03,,9.25,503340,4.1,2.5,60,0,EMP1028,No,
EMP1067,Indali Boase,Male,51,Master's,Delhi,Engineering,Lead Engineering Specialist,Lead,Full-time,2023-09-14,,1.3,1139205,3.6,4.8,45,0,EMP1019,No,
EMP1068,Faras Tandon,Female,40,PhD,Mumbai,Engineering,Director Engineering Specialist,Director,Full-time,2020-11-05,,4.16,2744266,2.1,3.8,58,1,EMP1007,No,
EMP1069,Yochana Dalal,Male,26,Bachelor's,Mumbai,Sales,Director Sales Specialist,Director,Part-time,2022-03-20,,2.79,2155768,3.6,4.3,64,0,EMP1029,No,
EMP1070,Gabriel Radhakrishnan,Female,52,Bachelor's,Pune,Engineering,Mid Engineering Specialist,Mid,Full-time,2022-12-08,,2.07,1064049,2.4,2.4,35,0,EMP1043,No,
EMP1071,Bimala Baria,Male,30,Bachelor's,Pune,Engineering,Senior Engineering Specialist,Senior,Full-time,2020-01-17,,4.96,1765036,3.8,3.9,13,0,EMP1098,No,
EMP1072,Girik Nigam,Female,31,Diploma,Bengaluru,Marketing,Senior Marketing Specialist,Senior,Full-time,2022-07-13,,2.47,1331893,3.6,3.9,28,2,EMP1016,No,
EMP1073,Orinder Vasa,Female,34,Diploma,Pune,HR,Senior HR Specialist,Senior,Full-time,2023-06-17,,1.54,916577,2.9,3.8,40,0,EMP1069,No,
EMP1074,Jagdish Rao,Male,47,High School,Hyderabad,Sales,Senior Sales Specialist,Senior,Part-time,2018-06-17,,6.55,915116,3.6,3.0,44,2,EMP1048,No,
EMP1075,Jalsa Rastogi,Female,35,Bachelor's,Mumbai,Operations,Mid Operations Specialist,Mid,Full-time,2015-07-07,2021-12-18,9.49,641552,4.9,1.7,52,1,EMP1032,Yes,Relocation
EMP1076,Tripti Kuruvilla,Female,42,Master's,Hyderabad,Sales,Mid Sales Specialist,Mid,Full-time,2022-05-05,,2.66,764941,3.9,2.7,49,0,EMP1093,No,
EMP1077,Ishwar Swaminathan,Female,48,PhD,Kolkata,Marketing,Mid Marketing Specialist,Mid,Full-time,2017-01-23,,7.94,1173250,4.0,4.6,4,0,EMP1081,No,
EMP1078,Ganga Butala,Male,41,Master's,Pune,Sales,Junior Sales Specialist,Junior,Contract,2022-12-06,,2.07,384049,2.7,4.5,66,0,EMP1069,No,
EMP1079,Saumya Sinha,Non-binary,22,Master's,Chennai,Engineering,Senior Engineering Specialist,Senior,Full-time,2015-02-18,,9.87,961222,3.7,4.3,26,0,EMP1013,No,
EMP1080,Rachana Pillay,Male,47,Bachelor's,Delhi,Engineering,Mid Engineering Specialist,Mid,Contract,2017-09-14,,7.3,1128921,4.9,3.4,62,1,EMP1090,No,
EMP1081,Ishwar Bava,Female,24,Bachelor's,Hyderabad,Operations,Junior Operations Specialist,Junior,Full-time,2022-09-02,,2.33,335170,2.8,2.8,11,1,EMP1090,No,
EMP1082,Raghav Mohanty,Non-binary,25,Diploma,Bengaluru,Engineering,Junior Engineering Specialist,Junior,Full-time,2020-08-09,,4.4,1159643,2.7,3.5,76,0,EMP1006,No,
EMP1083,Peter Rajagopal,Male,51,PhD,Bengaluru,Operations,Manager Operations Specialist,Manager,Contract,2022-09-04,,2.33,1310073,3.7,3.8,79,0,EMP1092,No,
EMP1084,Anmol Doshi,Female,34,Master's,Pune,HR,Lead HR Specialist,Lead,Full-time,2015-11-12,,9.14,778965,4.1,3.6,21,1,EMP1089,No,
EMP1085,Dhriti Guha,Female,32,Master's,Pune,Sales,Senior Sales Specialist,Senior,Contract,2020-08-13,,4.39,962156,4.6,3.4,54,2,EMP1042,No,
EMP1086,Warinder Acharya,Female,35,Bachelor's,Pune,Engineering,Junior Engineering Specialist,Junior,Full-time,2018-01-24,,6.94,1149246,5.0,4.2,14,1,EMP1038,No,
EMP1087,Yashodhara Golla,Female,42,Bachelor's,Hyderabad,Legal,Lead Legal Specialist,Lead,Full-time,2022-12-30,,2.01,1311590,2.7,2.6,17,0,EMP1040,No,
EMP1088,Darika Joshi,Female,35,Bachelor's,Bengaluru,Sales,Mid Sales Specialist,Mid,Full-time,2023-07-16,2024-05-21,1.46,674567,3.8,3.4,15,1,EMP1042,Yes,Limited growth
EMP1089,Dalbir Deol,Female,39,Diploma,Mumbai,Engineering,Lead Engineering Specialist,Lead,Full-time,2015-02-20,,9.87,1934146,3.8,3.5,25,1,EMP1022,No,
EMP1090,Libni Shanker,Male,47,Bachelor's,Delhi,Engineering,Junior Engineering Specialist,Junior,Contract,2018-05-18,2023-07-01,6.63,882806,2.7,2.4,67,1,EMP1026,Yes,Better compensation
EMP1091,Frederick Ram,Female,34,PhD,Delhi,Engineering,Mid Engineering Specialist,Mid,Full-time,2016-07-08,,8.49,1206834,4.1,3.8,59,1,EMP1084,No,
EMP1092,Brijesh Kumar,Male,32,Bachelor's,Hyderabad,Operations,Director Operations Specialist,Director,Contract,2016-07-11,,8.48,1608240,2.4,3.8,41,1,EMP1082,No,
EMP1093,Charvi Tailor,Female,33,Bachelor's,Pune,Finance,Mid Finance Specialist,Mid,Full-time,2021-06-16,,3.55,824454,3.7,2.8,73,0,EMP1099,No,
EMP1094,Vihaan Srinivasan,Female,48,Master's,Kolkata,Sales,Senior Sales Specialist,Senior,Part-time,2023-02-26,,1.85,1321835,3.5,3.7,56,1,EMP1018,No,
EMP1095,Ryan Rajan,Female,24,Bachelor's,Pune,Engineering,Senior Engineering Specialist,Senior,Full-time,2017-09-18,,7.29,1649621,2.5,3.9,55,0,EMP1089,No,
EMP1096,Ethan Virk,Female,51,Bachelor's,Kolkata,Sales,Mid Sales Specialist,Mid,Full-time,2015-05-31,,9.59,860343,3.8,4.6,49,0,EMP1079,No,
EMP1097,Yauvani Golla,Female,25,Bachelor's,Delhi,Legal,Junior Legal Specialist,Junior,Full-time,2022-03-27,,2.77,1253694,4.2,2.4,70,1,EMP1089,No,
EMP1098,Ishani Karpe,Female,38,Bachelor's,Bengaluru,Operations,Senior Operations Specialist,Senior,Full-time,2019-12-31,,5.01,982119,2.6,4.1,41,0,EMP1011,No,
EMP1099,Charles Talwar,Female,38,Master's,Hyderabad,Legal,Junior Legal Specialist,Junior,Full-time,2023-03-10,,1.81,744683,3.8,4.1,61,0,EMP1039,No,
EMP1100,Barkha Ravi,Male,47,Bachelor's,Chennai,HR,Junior HR Specialist,Junior,Full-time,2022-12-21,,2.03,291467,5.0,4.1,26,1,EMP1043,No,
EMP1101,Ryan Dhar,Male,43,Bachelor's,Bengaluru,Engineering,Senior Engineering Specialist,Senior,Part-time,2020-03-07,,4.82,1633941,4.3,4.5,29,0,EMP1055,No,
EMP1102,Aadhya Mani,Female,24,Master's,Kolkata,Finance,Mid Finance Specialist,Mid,Contract,2022-11-26,,2.1,776670,3.9,3.3,27,0,EMP1026,No,
EMP1103,Bhavani Dhillon,Female,41,Bachelor's,Bengaluru,Operations,Mid Operations Specialist,Mid,Full-time,2017-12-10,,7.06,898212,4.0,2.9,62,1,EMP1087,No,
EMP1104,Nirja Toor,Male,25,Bachelor's,Chennai,Operations,Senior Operations Specialist,Senior,Full-time,2018-05-03,,6.67,630509,3.2,3.2,53,0,EMP1018,No,
EMP1105,Keya Sachar,Female,51,High School,Pune,Engineering,Senior Engineering Specialist,Senior,Full-time,2019-09-29,,5.26,1412642,3.5,5.0,40,0,EMP1041,No,
EMP1106,Aashi Narain,Male,28,PhD,Pune,Operations,Lead Operations Specialist,Lead,Full-time,2021-12-12,,3.05,702156,1.9,4.2,67,0,EMP1063,No,
EMP1107,Yahvi Rajagopalan,Female,29,Bachelor's,Delhi,Engineering,Mid Engineering Specialist,Mid,Full-time,2019-12-24,,5.02,1610087,2.1,3.2,40,0,EMP1059,No,
EMP1108,Pavani Mitter,Female,33,Master's,Kolkata,Sales,Senior Sales Specialist,Senior,Full-time,2023-08-31,2024-01-26,1.34,1272717,4.3,1.8,60,0,EMP1055,Yes,Better compensation
EMP1109,Praneel Bahl,Male,33,PhD,Bengaluru,Sales,Junior Sales Specialist,Junior,Full-time,2022-05-01,,2.67,476593,2.8,4.2,19,1,EMP1031,No,
EMP1110,Pavani Thaman,Female,35,Bachelor's,Mumbai,Marketing,Junior Marketing Specialist,Junior,Part-time,2023-04-10,,1.73,811100,2.8,3.8,30,1,EMP1073,No,
EMP1111,Ojasvi Zachariah,Female,31,Master's,Kolkata,HR,Mid HR Specialist,Mid,Full-time,2018-02-25,,6.85,718452,3.4,3.0,16,0,EMP1097,No,
EMP1112,Ekiya Mani,Female,29,Bachelor's,Delhi,Engineering,Lead Engineering Specialist,Lead,Part-time,2015-08-31,,9.34,2063504,5.0,4.2,54,0,EMP1074,No,
EMP1113,Raksha Om,Male,38,Master's,Chennai,Sales,Senior Sales Specialist,Senior,Contract,2022-01-15,2024-07-06,2.96,1120948,1.8,2.2,51,0,EMP1063,Yes,Relocation
EMP1114,Ekbal Dugar,Female,33,PhD,Kolkata,Engineering,Mid Engineering Specialist,Mid,Full-time,2015-01-11,,9.98,936684,4.1,2.9,31,2,EMP1028,No,
EMP1115,Advik Prashad,Female,37,Master's,Chennai,Marketing,Mid Marketing Specialist,Mid,Part-time,2018-08-15,,6.38,771494,3.3,4.1,9,0,EMP1059,No,
EMP1116,Dayamai Bal,Male,44,Diploma,Chennai,HR,Junior HR Specialist,Junior,Full-time,2016-10-09,,8.23,438108,4.1,2.5,39,0,EMP1047,No,
EMP1117,Ikshita Borra,Female,46,Bachelor's,Chennai,Engineering,Mid Engineering Specialist,Mid,Full-time,2019-03-04,,5.83,953263,3.1,3.2,16,0,EMP1062,No,
EMP1118,Yahvi Chaudhry,Male,32,PhD,Kolkata,Operations,Junior Operations Specialist,Junior,Full-time,2021-08-28,,3.35,433704,2.9,5.0,20,0,EMP1030,No,
EMP1119,Kashvi Sastry,Male,34,Master's,Kolkata,Operations,Mid Operations Specialist,Mid,Contract,2023-03-13,,1.81,448721,3.7,2.5,22,0,EMP1073,No,
EMP1120,Chakradev Bora,Female,26,Diploma,Pune,Engineering,Junior Engineering Specialist,Junior,Full-time,2022-04-16,,2.71,722167,4.1,5.0,31,0,EMP1013,No,
EMP1121,Anay Mukhopadhyay,Male,47,Bachelor's,Delhi,Finance,Junior Finance Specialist,Junior,Full-time,2016-05-19,,8.62,891977,4.2,2.2,35,1,EMP1077,No,
EMP1122,Nitesh Madan,Male,38,Master's,Mumbai,Operations,Senior Operations Specialist,Senior,Part-time,2018-03-13,,6.81,567480,3.0,4.7,41,1,EMP1031,No,
EMP1123,Jatin Vora,Female,22,High School,Delhi,Finance,Mid Finance Specialist,Mid,Full-time,2016-04-06,,8.74,852720,2.8,4.0,76,0,EMP1070,No,
EMP1124,Kai Raval,Male,24,Bachelor's,Mumbai,Operations,Senior Operations Specialist,Senior,Full-time,2023-07-22,,1.45,1239319,4.0,2.8,11,2,EMP1051,No,
EMP1125,Tamanna Ganesan,Male,42,Master's,Pune,Engineering,Mid Engineering Specialist,Mid,Full-time,2022-01-18,,2.95,1844304,3.4,1.0,14,0,EMP1066,No,
EMP1126,Jyoti Setty,Female,42,Master's,Bengaluru,Sales,Manager Sales Specialist,Manager,Full-time,2016-09-28,,8.26,1759254,2.6,3.4,59,1,EMP1031,No,
EMP1127,Simon Kant,Male,43,Master's,Chennai,Engineering,Junior Engineering Specialist,Junior,Full-time,2015-12-20,,9.04,1041204,2.4,5.0,5,1,EMP1090,No,
EMP1128,Ekta Bansal,Female,27,Bachelor's,Chennai,Marketing,Junior Marketing Specialist,Junior,Part-time,2020-07-26,,4.44,607263,2.3,3.2,38,1,EMP1016,No,
EMP1129,Ganga Patla,Male,44,High School,Chennai,HR,Lead HR Specialist,Lead,Full-time,2015-05-01,,9.68,916498,3.5,4.9,62,0,EMP1008,No,
EMP1130,Ojas Butala,Male,40,Master's,Bengaluru,HR,Mid HR Specialist,Mid,Full-time,2021-05-10,,3.65,474592,2.3,4.6,69,0,EMP1002,No,
EMP1131,Ojasvi Walla,Female,45,Master's,Mumbai,Sales,Junior Sales Specialist,Junior,Full-time,2020-04-16,2020-09-25,4.71,568534,3.4,3.2,57,2,EMP1041,Yes,Work-life balance
EMP1132,Amara Sangha,Male,29,PhD,Bengaluru,Engineering,Mid Engineering Specialist,Mid,Contract,2015-11-16,,9.13,1369037,3.6,3.1,12,2,EMP1037,No,
EMP1133,Agastya Rege,Male,31,Master's,Delhi,HR,Lead HR Specialist,Lead,Part-time,2018-06-26,,6.52,786472,3.5,3.3,35,0,EMP1076,No,
EMP1134,Hritik Cherian,Female,26,Bachelor's,Hyderabad,Marketing,Director Marketing Specialist,Director,Full-time,2023-08-31,,1.34,1770452,3.5,4.2,73,0,EMP1089,No,
EMP1135,Edhitha Parikh,Female,31,Bachelor's,Pune,Engineering,Manager Engineering Specialist,Manager,Contract,2018-10-04,,6.25,1331054,4.7,2.5,57,0,EMP1008,No,
EMP1136,Gaurang Chopra,Female,38,Bachelor's,Delhi,Sales,Director Sales Specialist,Director,Full-time,2016-08-06,,8.41,1638978,5.0,1.8,14,1,EMP1065,No,
EMP1137,Chatresh Sarma,Male,30,PhD,Kolkata,Engineering,Junior Engineering Specialist,Junior,Full-time,2019-06-04,2023-05-20,5.58,610875,3.3,3.1,45,0,EMP1035,Yes,Personal reasons
EMP1138,Rachita Mannan,Male,27,Bachelor's,Delhi,Finance,Junior Finance Specialist,Junior,Full-time,2017-04-10,,7.73,549014,2.9,3.4,72,0,EMP1099,No,
EMP1139,Ekaja Bajaj,Male,43,Bachelor's,Chennai,Finance,Junior Finance Specialist,Junior,Full-time,2018-06-16,,6.55,724374,3.0,3.1,9,0,EMP1042,No,
EMP1140,Vihaan Bhandari,Male,31,Bachelor's,Mumbai,Engineering,Junior Engineering Specialist,Junior,Full-time,2022-12-22,,2.03,934425,4.1,3.9,55,2,EMP1072,No,
EMP1141,Ikshita Bhardwaj,Male,22,Bachelor's,Kolkata,Sales,Senior Sales Specialist,Senior,Contract,2017-10-20,,7.2,708702,2.8,4.4,20,0,EMP1052,No,
EMP1142,Oscar Parekh,Female,22,High School,Mumbai,Operations,Mid Operations Specialist,Mid,Contract,2022-01-25,,2.93,475828,3.6,4.3,60,1,EMP1012,No,
EMP1143,Yasti Deep,Male,40,Bachelor's,Chennai,Engineering,Manager Engineering Specialist,Manager,Full-time,2018-09-20,,6.28,1564982,3.9,2.9,7,0,EMP1055,No,
EMP1144,Mason Soni,Female,23,Master's,Pune,HR,Junior HR Specialist,Junior,Full-time,2017-05-29,,7.6,574971,3.0,4.3,41,0,EMP1071,No,
EMP1145,Ishaan Krishnan,Female,47,Master's,Chennai,Sales,Mid Sales Specialist,Mid,Contract,2015-12-26,,9.02,725973,3.9,3.6,73,1,EMP1049,No,
EMP1146,Avni Kumer,Female,38,Bachelor's,Delhi,Engineering,Lead Engineering Specialist,Lead,Full-time,2019-01-10,,5.98,2581740,3.5,4.7,44,1,EMP1004,No,
EMP1147,Lila Dave,Female,46,Master's,Mumbai,Operations,Manager Operations Specialist,Manager,Contract,2023-09-24,,1.27,1107046,2.9,4.1,16,0,EMP1031,No,
